Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR14422,1. Seizure,Viet Nam,5/24/2018 0:00,"4 rhino horn and rhino horn pieces weighing 20kg in total seized in Lao Cai, two suspects arrested",Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn,4,20,Kilograms,,,
MOR14430,1. Seizure,Brazil,4/20/2018 0:00,"Authorities in Brazil seized 14,233 native wood sleepers from Vale (company)",Erisma,,Sawn wood,,,,,,
MOR14430,1. Seizure,Brazil,4/20/2018 0:00,"Authorities in Brazil seized 14,233 native wood sleepers from Vale (company)",Hymenaea,,Sawn wood,,,,,,
MOR14430,1. Seizure,Brazil,4/20/2018 0:00,"Authorities in Brazil seized 14,233 native wood sleepers from Vale (company)",Peltogyne,,Sawn wood,,,,,,
MOR14453,1. Seizure,Sri Lanka,1/5/2018 0:00,Man apprehended by Navy for illegally seling Thresher Shark,Alopias,,Individual - Dead,,45,Kilograms,,,
MOR14499,1. Seizure,Malawi,4/16/2018 0:00,"16 ivory pieces (41kg) seized at Jenda Trading Center, Mzimba - 3 convicted",Elephantidae,Elephants,Ivory Pieces - Raw,16,41.43000031,Kilograms,33000000,MWK Kwacha,45316
MOR14503,1. Seizure,Lebanon,5/1/2018 0:00,2 white-throated guenons seized from Beirut International Airport,Cercopithecus erythrogaster,"Red-bellied Guenon, Red-bellied Monkey, White-throated Guenon, White-throated Monkey, Cercopithèque à ventre roux",Individual - Live,2,,,,,
MOR14504,1. Seizure,Australia,5/8/2018 0:00,"261 blacklipped abalone seized and 4 suspects apprehended on South Coast, NSW",Haliotis rubra,Blacklip abalone,Individual - Dead,261,,,,,
MOR14623,1. Seizure,United States of America,10/25/2017 0:00,"Over 3,400 diamondback terrapins seized in Pennslyvania - 1 convicted",Malaclemys terrapin,"Carolina Diamondback Terrapin, Diamondback Terrapin, Northern Diamondback Terrapin, Texas Diamondback Terrapin",Individual - Live,3400,,,,,
MOR14704,1. Seizure,United Arab Emirates,10/19/2017 0:00,27 falcons seized from a car in Ras Al Khaimah Emirate,Falconidae,"Falcons, Halcones, Faucons",Individual - Live,27,,,,,
MOR14705,1. Seizure,Pakistan,10/20/2017 0:00,68 red-legged partridges and 20 Siberian cranes seized at the Wanda Banochi check point,Alectoris rufa,,Individual - Live,68,,,,,
MOR14705,1. Seizure,Pakistan,10/20/2017 0:00,68 red-legged partridges and 20 Siberian cranes seized at the Wanda Banochi check point,Grus leucogeranus,"Siberian Crane, Siberian White Crane, Snow Crane, Grulla blanca asiática, Grulla siberiana, Grulla siberiana blanca, Grue blanche d'Asie, Grue de Sibérie, Leucogéranne",Individual - Live,20,,,,,
MOR14706,1. Seizure,India,11/1/2017 0:00,"Processed sea cucumbers, sea horses, dry pipefish and horse conch meat seized in Kodipangu, Thondi",Holothuroidea,Sea Cucumber,Individual - Dead,,17,Kilograms,,,
MOR14706,1. Seizure,India,11/1/2017 0:00,"Processed sea cucumbers, sea horses, dry pipefish and horse conch meat seized in Kodipangu, Thondi",Hippocampus,,Individual - Dead,,5,Kilograms,,,
